categories_str,sources_str,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,conc,fam,aoa,property,concept
vehicle,wn_hypernym,0.0448160865,3,False,-,technical,technical,129845,True,True,2,0,7,0.1,0.1,poly,met non-met,abs-conc,,,,fly,technical
vehicle,wn_hypernym,0.0806314742,3,False,-,ordinary,ordinary,43226,True,True,5,0,7,0.11764705882352941,0.3112510528686999,poly,non-met,abs-conc,,584,,fly,ordinary
vehicle,wn_hypernym,0.143223511,-,True,-,clarence,clarence,15386,True,True,0,0,1,1.0,1.0,,,conc,,,,fly,clarence
vehicle,wn_hypernym,0.0796287462,3,False,-,berlin,berlin,119142,True,True,0,1,3,0.25,0.27285395763656634,,met non-met,conc-n,,,,fly,berlin
vehicle,wn_hypernym,0.0739757515,3,False,-,semi,semi,128224,True,True,3,0,3,0.1,0.28467023172905526,,,abs-conc,,,,fly,semi
vehicle,wn_hypernym,0.1393783889,-,True,-,smoker,smoker,2007,True,True,2,0,3,0.10526315789473684,0.20651629072681701,poly,,abs-conc,,,,fly,smoker
vehicle,wn_hypernym,0.1525342107,-,True,-,heap,heap,4710,True,True,3,3,6,0.2222222222222222,0.27524790024790025,homonyms_only_different_pos,met non-met,abs,485,519,319,fly,heap
vehicle,wn_hypernym,0.1697112839,-,True,-,barrow,barrow,12469,True,True,2,0,3,0.125,0.2744708994708995,homonyms_also_same_pos,,abs-conc,,,,fly,barrow
vehicle,wn_hypernym,0.1650239109,-,True,-,stanhope,stanhope,3277,True,True,0,0,1,1.0,1.0,,,conc,,,,fly,stanhope
vehicle,wn_hypernym,0.1136577982,3,False,-,troika,troika,909,True,True,2,0,3,0.10526315789473684,0.15350877192982457,poly,,abs-conc,,,,fly,troika
vehicle,wn_hypernym,0.1730939628,-,True,-,surrey,surrey,28096,True,True,1,0,2,0.3333333333333333,0.3333333333333333,mon,,conc-n,,,,fly,surrey
vehicle,wn_hypernym,0.1600488029,-,True,-,wain,wain,760,True,True,1,0,3,0.4,0.4470588235294118,mon,,conc-n,,,,fly,wain
vehicle,wn_hypernym,0.0687518383,3,False,-,stage,stage,313237,True,True,5,14,10,0.09090909090909091,0.24308009138531178,homonyms_only_different_pos,met non-met,abs-conc,,,,fly,stage
mammal vehicle,wn_hypernym,0.1307330271,-,True,-,hack,hack,4947,True,True,6,7,16,0.2,0.36702274841980215,homonyms_also_same_pos,met,conc,,,,fly,hack
vehicle,wn_hypernym,0.0932803706,3,False,-,cycle,cycle,79050,True,True,6,3,11,0.11764705882352941,0.2878252074722663,homonyms_only_different_pos,met,abs-conc,,,,fly,cycle
vehicle,wn_hypernym,0.1489216229,-,True,-,trap,trap,23432,True,True,7,3,12,0.09090909090909091,0.2919202432377153,homonyms_only_different_pos,met,abs-conc,,,,fly,trap
vehicle,wn_hypernym,0.1059053388,3,False,-,finisher,finisher,3205,True,True,1,0,6,0.2,0.44783993783993775,,,conc,,,,fly,finisher
vehicle,wn_hypernym,0.2664267556,-,True,-,frigate,frigate,13607,True,True,1,0,2,0.8461538461538461,0.8461538461538461,mon,,conc,,,,fly,frigate
vehicle,wn_hypernym,0.1356691465,-,True,-,bandwagon,bandwagon,570,True,True,2,0,2,0.1,0.1,mon,,abs-conc,,,,fly,bandwagon
