categories_str,sources_str,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,conc,fam,aoa,property,concept
neighbors-200,wikipedia_sgns_model,0.3659283597,-,True,-,sled,sl,3179,True,True,0,0,1,1.0,1.0,,,n,,477,,cold,sl
neighbors-200,wikipedia_sgns_model,0.3486882506,-,True,-,sisurcana,sisurcana,104,False,False,0,0,0,None,,,,-,,,,cold,sisurcana
neighbors-200,wikipedia_sgns_model,0.3781842952,-,True,-,trombidium,trombidium,106,False,False,0,0,0,None,,,,-,,,,cold,trombidium
neighbors-200,wikipedia_sgns_model,0.3823836171,-,True,-,blepharomastix,blepharomastix,171,False,False,0,0,0,None,,,,-,,,,cold,blepharomastix
neighbors-200,wikipedia_sgns_model,0.3515265199,-,True,-,balloons,balloon,6121,True,True,4,4,4,0.14285714285714285,0.33458646616541354,homonyms_only_different_pos,,conc,,,,cold,balloon
neighbors-200,wikipedia_sgns_model,0.381653878,-,True,-,rocks,rock,52788,True,True,5,4,9,0.09090909090909091,0.24425096395614265,homonyms_also_same_pos,non-met,abs-conc-n,,,,cold,rock
neighbors-200,wikipedia_sgns_model,0.3512151801,-,True,-,chelipeds,cheliped,133,False,False,0,0,0,None,,,,-,,,,cold,cheliped
neighbors-200,wikipedia_sgns_model,0.3537031136,-,True,-,quoined,quoin,109,True,True,2,0,3,0.45454545454545453,0.5265151515151515,,,conc,,,,cold,quoin
neighbors-200,wikipedia_sgns_model,0.3553076962,-,True,-,nealcidion,nealcidion,116,False,False,0,0,0,None,,,,-,,,,cold,nealcidion
neighbors-200,wikipedia_sgns_model,0.3544543367,-,True,-,forepaws,forepaw,112,True,True,0,0,1,1.0,1.0,,,conc,,,,cold,forepaw
neighbors-200,wikipedia_sgns_model,0.3674122438,-,True,-,lucarnes,lucarne,114,False,False,0,0,0,None,,,,-,,,,cold,lucarne
neighbors-200,wikipedia_sgns_model,0.3938716076,-,True,-,stovetop,stovetop,104,False,False,0,0,0,None,,,,-,,,,cold,stovetop
neighbors-200,wikipedia_sgns_model,0.4042992323,-,True,-,hindfeet,hindfeet,106,False,False,0,0,0,None,,,,-,,,,cold,hindfeet
neighbors-200,wikipedia_sgns_model,0.3602855897,-,True,-,pilocrocis,pilocrocis,128,False,False,0,0,0,None,,,,-,,,,cold,pilocrocis
neighbors-200,wikipedia_sgns_model,0.3553347934,-,True,-,dentillated,dentillated,161,False,False,0,0,0,None,,,,-,,,,cold,dentillated
neighbors-200,wikipedia_sgns_model,0.3743457558,-,True,-,geotextile,geotextile,120,False,False,0,0,0,None,,,,-,,,,cold,geotextile
neighbors-200,wikipedia_sgns_model,0.3738142896,-,True,-,stringcourse,stringcourse,104,False,False,0,0,0,None,,,,-,,,,cold,stringcourse
hot,conceptnet,0.3098610155,-,True,-,fireplaces,fireplace,2349,True,True,0,0,1,1.0,1.0,poly,,conc,,,,cold,fireplace
neighbors-200,wikipedia_sgns_model,0.3526894804,-,True,-,chamferboards,chamferboard,100,False,False,0,0,0,None,,,,-,,,,cold,chamferboard
cold,conceptnet,0.2308551502,-,True,-,canada,canada,371010,True,True,0,0,1,1.0,1.0,,non-met,n,,638,,cold,canada
cold,conceptnet,0.3339835848,-,True,-,alaska,alaska,44672,True,True,0,0,1,1.0,1.0,,non-met,n,,,,cold,alaska
cold,conceptnet,0.1877839263,2,True,-,people,people,1124171,True,True,3,7,6,0.2222222222222222,0.550976800976801,homonyms_only_different_pos,non-met,abs,540,628,281,cold,people
cold,conceptnet,0.3079293519,-,True,-,space,space,322609,True,True,4,9,10,0.125,0.3778448403448404,homonyms_only_different_pos,met non-met,abs-conc,381,576,319,cold,space
cold,conceptnet,0.2978348008,-,True,-,river,river,810697,True,True,0,0,1,1.0,1.0,poly,non-met,conc,585,565,,cold,river
cold,conceptnet,0.25367637,-,True,-,bob,bob,103826,True,True,8,8,12,0.1,0.24165591418912105,homonyms_also_same_pos,non-met,abs-conc,,,,cold,bob
neg_met,manually_included,0.1767626705,3,False,-,idea,idea,159752,True,True,3,7,5,0.23529411764705882,0.45187800761330177,poly,non-met,abs,259,585,,cold,idea
cold,conceptnet,0.3968178441,-,True,-,winter,winter,174503,True,True,0,1,2,None,,homonyms_only_different_pos,non-met,abs,499,615,236,cold,winter
cold,conceptnet,0.4937975297,-,True,-,ice,ice,172988,True,True,4,3,11,0.18181818181818182,0.34117859189005834,homonyms_only_different_pos,non-met,conc,621,564,261,cold,ice
is_cold,mcrae,0.3671964798,-,True,pos-is_cold-most,basement,basement,26654,True,True,2,0,2,0.7058823529411765,0.7058823529411765,mon,,conc,585,522,,cold,basement
cold cold,conceptnet manually_included,0.4424993537,-,True,-,water,water,586090,True,True,6,12,10,0.18181818181818182,0.349777490025168,homonyms_only_different_pos,non-met,abs-conc,616,641,153,cold,water
cold,conceptnet,0.3459628853,-,True,-,moon,moon,75421,True,True,3,0,9,0.1111111111111111,0.3189659512027933,poly,non-met,abs-conc-n,581,585,,cold,moon
cold,conceptnet,0.2945006303,-,True,-,tile,tile,9920,True,True,1,0,4,0.5555555555555556,0.5787037037037037,homonyms_only_different_pos,,conc,,,,cold,tile
is_cold,cslb,0.4137598335,-,True,-,beer,beer,40202,True,True,0,1,1,1.0,1.0,poly,non-met,abs,587,604,,cold,beer
pos_met,manually_included,0.36568634,-,True,-,atmosphere,atmosphere,41970,True,True,2,0,6,0.125,0.23059995559995555,poly,met non-met,abs-conc,385,540,517,cold,atmosphere
is_cold,cslb,0.4518022575,-,True,-,lemonade,lemonade,1602,True,True,0,0,1,1.0,1.0,poly,non-met,abs,615,522,,cold,lemonade
pos/neg,manually_included,0.29658399440050276,,,,heat,heat,91579,True,True,,,11,0.1111111111111111,0.23461338951535032,homonyms_only_different_pos,non-met,abs-conc,472,580,278,cold,heat
is_hot is_cold is_hot is_cold,cslb manually_included,0.2919219525,-,True,-,tea,tea,41766,True,True,3,0,5,0.1,0.2978814683768244,poly,non-met,abs-conc,609,572,,cold,tea
