categories_str,sources_str,cosine_centroid,selection ,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,conc,fam,aoa,property,concept
is_found_in_seas,cslb_crowd_neg,0.1311390408,3,-,False,-,wheel,wheel,61751,True,True,3,4,11,0.10526315789473684,0.4312622680355737,homonyms_only_different_pos,met non-met,abs-conc,573,566,,found_in_seas,wheel
is_found_in_seas,cslb_crowd_neg,0.2613879969,,-,False,-,roach,roach,6497,True,True,3,0,7,0.15384615384615385,0.2832025170699733,homonyms_also_same_pos,,conc,,,,found_in_seas,roach
neighbors-200,wikipedia_sgns_model,0.5723394584,,-,False,-,crab,crab,8586,True,True,3,0,11,0.09090909090909091,0.30423533066778,homonyms_also_same_pos,,abs-conc-n,626,433,292,found_in_seas,crab
is_found_in_seas,cslb_crowd_pos,0.6212793102,,-,False,-,crabs,crab,6017,True,True,3,0,11,0.09090909090909091,0.30423533066778,homonyms_also_same_pos,,abs-conc-n,,,,found_in_seas,crab
is_found_in_seas,cslb_crowd_neg,0.265127626,,-,False,-,peregrine,peregrine,2785,True,True,0,0,2,None,,,,conc,,,,found_in_seas,peregrine
is_found_in_seas,cslb_crowd_pos,0.3904608641,,-,False,-,gannet,gannet,586,True,True,0,0,1,1.0,1.0,mon,,conc,,,,found_in_seas,gannet
is_found_in_seas,cslb_crowd_pos,0.3791616704,,-,False,-,shearwater,shearwater,1243,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,shearwater
is_found_in_seas,cslb_crowd_pos,0.4622625796,,-,False,-,seabird,seabird,1451,True,True,0,0,1,1.0,1.0,mon,,conc,,,,found_in_seas,seabird
neighbors-200,wikipedia_sgns_model,0.5537062562,,-,False,-,seabirds,seabird,2263,True,True,0,0,1,1.0,1.0,mon,,conc,,,,found_in_seas,seabird
is_found_in_seas,cslb_crowd_neg,0.3075161994,,-,False,-,owl,owl,12496,True,True,0,0,1,1.0,1.0,mon,,conc,614,477,269,found_in_seas,owl
neighbors-200,wikipedia_sgns_model,0.5393393378,,-,False,-,mergansers,merganser,136,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,merganser
