categories_str,sources_str,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,conc,fam,aoa,property,concept
is_sweet,cslb_crowd_neg,0.1439101899,-,True,-,porsche,porsche,10517,False,False,0,0,0,None,,,non-met,-,,,,sweet,porsche
fruit,wn_hypernym,0.1052793478,-,True,-,emperor,emperor,154936,True,True,2,0,4,0.2962962962962963,0.4543554942105667,mon,,conc,527,379,440,sweet,emperor
fruit,wn_hypernym,0.2633367353,-,True,-,cob,cob,1485,True,True,2,0,4,0.26666666666666666,0.45904937973903487,poly,,conc,,,,sweet,cob
fruit,wn_hypernym,0.3196249618,-,True,-,kiwi,kiwi,2758,True,True,2,0,4,0.34782608695652173,0.47954008869340675,poly,,conc,,,,sweet,kiwi
neighbors-200,wikipedia_sgns_model,0.4779932575,-,True,-,chicken,chicken,23318,True,True,2,0,5,0.1,0.22879759129759134,homonyms_only_different_pos,non-met,abs-conc,614,544,250,sweet,chicken
is_food,cslb,0.3906504393,-,True,-,crab,crab,8586,True,True,3,0,11,0.09090909090909091,0.30423533066778,homonyms_also_same_pos,,abs-conc-n,626,433,292,sweet,crab
fruit,wn_hypernym,0.1342166991,-,True,-,date,date,218586,True,True,5,13,13,0.125,0.2938421958158799,homonyms_also_same_pos,non-met,abs-conc,514,613,314,sweet,date
is_sweet,cslb cslb_crowd_pos,0.194281696,-,True,-,dates,date,84737,True,True,5,13,13,0.125,0.2938421958158799,homonyms_also_same_pos,non-met,abs-conc,,,,sweet,date
pos_met,manually_included,0.1161693667,-,True,-,thought,think,209762,True,True,4,14,14,0.2,0.33651811151811123,homonyms_only_different_pos,met non-met,abs,274,603,347,sweet,think
neg_met,manually_included,0.058075247,3,False,-,argument,argument,43743,True,True,3,7,7,0.23529411764705882,0.34703095813224083,poly,met non-met,abs,,,,sweet,argument
is_sweet,cslb,0.4906131204,-,True,-,lemonade,lemonade,1602,True,True,0,0,1,1.0,1.0,poly,non-met,abs,615,522,,sweet,lemonade
neighbors-200,wikipedia_sgns_model,0.4750562531,-,True,-,tea,tea,41766,True,True,3,0,5,0.1,0.2978814683768244,poly,non-met,abs-conc,609,572,,sweet,tea
is_food,cslb,0.5016371962,-,True,-,soup,soup,12179,True,True,2,0,4,0.13333333333333333,0.26666666666666666,poly,,abs-conc,615,576,,sweet,soup
fruit,wn_hypernym,0.5023820575,-,True,-,coffee,coffee,42783,True,True,2,0,4,0.1,0.20505050505050507,poly,non-met,abs-conc,613,625,292,sweet,coffee
neighbors-200,wikipedia_sgns_model,0.5151798331,-,True,-,quesadillas,quesadilla,124,True,True,0,0,1,1.0,1.0,,,conc,,,,sweet,quesadilla
is_sweet sweet is_sweet sweet,cslb conceptnet manually_included,0.5590188226,-,True,-,cake,cake,13460,True,True,2,5,4,0.26666666666666666,0.3174603174603175,homonyms_only_different_pos,met non-met,conc,624,594,214,sweet,cake
sweet,conceptnet,0.5660040377,-,True,-,cakes,cake,4849,True,True,2,5,4,0.26666666666666666,0.3174603174603175,homonyms_only_different_pos,met non-met,conc,,,,sweet,cake
is_sweet is_food,cslb,0.5017475432,-,True,-,pie,pie,11835,True,True,1,0,2,0.13333333333333333,0.13333333333333333,poly,non-met,abs-conc,613,576,,sweet,pie
neighbors-200,wikipedia_sgns_model,0.5190192129,-,True,-,pies,pie,2659,True,True,1,0,2,0.13333333333333333,0.13333333333333333,poly,non-met,abs-conc,,,,sweet,pie
neighbors-200,wikipedia_sgns_model,0.473273469,-,True,-,sundaes,sundae,122,True,True,0,0,1,1.0,1.0,mon,,conc,,,,sweet,sundae
