categories_str,sources_str,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,conc,fam,aoa,property,concept
neg,manually_included,0.242080788,-,True,-,table,table,113840,True,True,3,5,8,0.13333333333333333,0.26176111470229113,homonyms_only_different_pos,non-met,abs-conc,604,599,,hot,table
neighbors-200,wikipedia_sgns_model,0.4004759717,-,True,-,tray,tray,2969,True,True,0,1,1,1.0,1.0,poly,non-met,conc,590,558,,hot,tray
neighbors-200,wikipedia_sgns_model,0.4407120612,-,True,-,chimney,chimney,9203,True,True,2,0,2,0.9,0.9,poly,non-met,conc,,479,,hot,chimney
neighbors-200,wikipedia_sgns_model,0.5618515638,-,True,-,stovetop,stovetop,104,False,False,0,0,0,None,,,,-,,,,hot,stovetop
hot,conceptnet,0.4644989786,-,True,-,fireplaces,fireplace,2349,True,True,0,0,1,1.0,1.0,poly,,conc,,,,hot,fireplace
neighbors-200,wikipedia_sgns_model,0.4997700063,-,True,-,fireplace,fireplace,5533,True,True,0,0,1,1.0,1.0,poly,,conc,592,529,,hot,fireplace
cold,conceptnet,0.0917911532,3,False,-,canada,canada,371010,True,True,0,0,1,1.0,1.0,,non-met,n,,638,,hot,canada
cold,conceptnet,0.1754538623,-,True,-,alaska,alaska,44672,True,True,0,0,1,1.0,1.0,,non-met,n,,,,hot,alaska
cold,conceptnet,0.1092957826,2,True,-,people,people,1124171,True,True,3,7,6,0.2222222222222222,0.550976800976801,homonyms_only_different_pos,non-met,abs,540,628,281,hot,people
cold,conceptnet,0.184559048,-,True,-,space,space,322609,True,True,4,9,10,0.125,0.3778448403448404,homonyms_only_different_pos,met non-met,abs-conc,381,576,319,hot,space
neg_met,manually_included,0.1629470612,-,True,-,thought,think,209762,True,True,4,14,14,0.2,0.33651811151811123,homonyms_only_different_pos,met non-met,abs,274,603,347,hot,think
pos_met,manually_included,0.2101217559,-,True,-,argument,argument,43743,True,True,3,7,7,0.23529411764705882,0.34703095813224083,poly,met non-met,abs,,,,hot,argument
cold,conceptnet,0.2056323843,-,True,-,river,river,810697,True,True,0,0,1,1.0,1.0,poly,non-met,conc,585,565,,hot,river
cold,conceptnet,0.1323967942,-,True,-,bob,bob,103826,True,True,8,8,12,0.1,0.24165591418912105,homonyms_also_same_pos,non-met,abs-conc,,,,hot,bob
pos/neg,manually_included,0.21025066131463122,,,,idea,idea,159752,True,True,,,5,0.23529411764705882,0.45187800761330177,poly,non-met,abs,259,585,,hot,idea
cold,conceptnet,0.2078351414,-,True,-,winter,winter,174503,True,True,0,1,2,None,,homonyms_only_different_pos,non-met,abs,499,615,236,hot,winter
cold,conceptnet,0.3120209681,-,True,-,ice,ice,172988,True,True,4,3,11,0.18181818181818182,0.34117859189005834,homonyms_only_different_pos,non-met,conc,621,564,261,hot,ice
is_cold,mcrae,0.2999759125,-,True,neg-is_cold-most,basement,basement,26654,True,True,2,0,2,0.7058823529411765,0.7058823529411765,mon,,conc,585,522,,hot,basement
cold,conceptnet,0.3539392564,-,True,-,water,water,586090,True,True,6,12,10,0.18181818181818182,0.349777490025168,homonyms_only_different_pos,non-met,abs-conc,616,641,153,hot,water
cold,conceptnet,0.2677695218,-,True,-,moon,moon,75421,True,True,3,0,9,0.1111111111111111,0.3189659512027933,poly,non-met,abs-conc-n,581,585,,hot,moon
cold,conceptnet,0.2953767603,-,True,-,tile,tile,9920,True,True,1,0,4,0.5555555555555556,0.5787037037037037,homonyms_only_different_pos,,conc,,,,hot,tile
is_cold,cslb,0.3613596041,-,True,-,beer,beer,40202,True,True,0,1,1,1.0,1.0,poly,non-met,abs,587,604,,hot,beer
pos/neg,manually_included,0.3022640002669513,,,,atmosphere,atmosphere,41970,True,True,,,6,0.125,0.23059995559995555,poly,met non-met,abs-conc,385,540,517,hot,atmosphere
is_cold,cslb,0.3454337125,-,True,-,lemonade,lemonade,1602,True,True,0,0,1,1.0,1.0,poly,non-met,abs,615,522,,hot,lemonade
neighbors-200,wikipedia_sgns_model,0.3836470387,-,True,-,heat,heat,91579,True,True,3,12,11,0.1111111111111111,0.23461338951535032,homonyms_only_different_pos,non-met,abs-conc,472,580,278,hot,heat
neighbors-200,wikipedia_sgns_model,0.4075259205,-,True,-,heated,heat,18129,True,True,3,12,11,0.1111111111111111,0.23461338951535032,homonyms_only_different_pos,non-met,abs-conc,,,,hot,heat
is_hot is_cold is_hot is_cold,cslb manually_included,0.4044339379,-,True,-,tea,tea,41766,True,True,3,0,5,0.1,0.2978814683768244,poly,non-met,abs-conc,609,572,,hot,tea
is_hot is_cold is_hot is_cold,cslb manually_included,0.4776739539,-,True,-,soup,soup,12179,True,True,2,0,4,0.13333333333333333,0.26666666666666666,poly,,abs-conc,615,576,,hot,soup
cold,conceptnet,0.2382226739,-,True,-,vinyl,vinyl,29592,True,True,2,0,2,0.3333333333333333,0.3333333333333333,mon,non-met,conc,,,,hot,vinyl
is_cold,cslb,0.3674442759,-,True,-,fridge,fridge,976,True,True,0,0,1,1.0,1.0,mon,non-met,conc,,,,hot,fridge
is_hot hot is_hot hot,cslb conceptnet manually_included,0.4594852747,-,True,-,coffee,coffee,42783,True,True,2,0,4,0.1,0.20505050505050507,poly,non-met,abs-conc,613,625,292,hot,coffee
cold,conceptnet,0.2849239537,-,True,-,icicles,icicle,233,True,True,0,0,1,1.0,1.0,mon,,conc,,,,hot,icicle
cold,conceptnet,0.1895070935,-,True,-,noses,nose,1741,True,True,4,8,14,0.10526315789473684,0.2461568725032617,homonyms_only_different_pos,met non-met,abs-conc,,,,hot,nose
cold,conceptnet,0.1850230625,-,True,-,toes,toe,5979,True,True,4,0,9,0.18181818181818182,0.32662441724941726,homonyms_only_different_pos,non-met,conc,,,,hot,toe
pos_met,manually_included,0.3088815748,-,True,-,bikini,bikini,4285,True,True,1,0,2,0.3,0.3,mon,,conc-n,,,,hot,bikini
neighbors-200,wikipedia_sgns_model,0.395508638,-,True,-,cheesecloth,cheesecloth,113,True,True,0,0,1,1.0,1.0,poly,,conc,,,,hot,cheesecloth
pos_met,manually_included,0.2425027569,-,True,-,outfit,outfit,13683,True,True,2,0,4,0.125,0.26851851851851855,homonyms_only_different_pos,non-met,abs-conc,515,489,417,hot,outfit
pos/neg,manually_included,0.3560775684876576,,,,topcoat,topcoat,116,True,True,,,1,1.0,1.0,poly,non-met,conc,,,,hot,topcoat
pos/neg,manually_included,0.20775967697392989,,,,boot,boot,16019,True,True,,,9,0.08695652173913043,0.24106151907214085,homonyms_also_same_pos,met non-met,abs-conc,595,566,251,hot,boot
pos/neg,manually_included,0.29989616236689887,,,,shoe,shoe,14949,True,True,,,5,0.5263157894736842,0.5937392500859993,homonyms_only_different_pos,non-met,conc,600,569,,hot,shoe
neighbors-200,wikipedia_sgns_model,0.4064846113,-,True,-,clothes,clothe,28650,True,False,1,3,3,0.2,0.21666666666666667,poly,met,-,600,652,194,hot,clothe
neighbors-200,wikipedia_sgns_model,0.4494721251,-,True,-,quesadillas,quesadilla,124,True,True,0,0,1,1.0,1.0,,,conc,,,,hot,quesadilla
neighbors-200,wikipedia_sgns_model,0.4297730965,-,True,-,candles,candle,5465,True,True,2,0,3,0.10526315789473684,0.10526315789473684,poly,non-met,abs-conc,,,,hot,candle
is_hot,cslb,0.4957390895,-,True,-,candle,candle,5981,True,True,2,0,3,0.10526315789473684,0.10526315789473684,poly,non-met,abs-conc,565,544,,hot,candle
hot,conceptnet,0.2910641904,-,True,-,jungles,jungle,2128,True,True,1,0,3,0.16666666666666666,0.25396825396825395,poly,non-met,abs-conc,,,,hot,jungle
neighbors-200,wikipedia_sgns_model,0.3918734006,-,True,-,vapor,vapor,7797,True,True,1,0,2,0.3076923076923077,0.3076923076923077,,,abs-conc,,,,hot,vapor
neighbors-200,wikipedia_sgns_model,0.3890222474,-,True,-,casserole,casserole,378,True,True,1,0,2,0.23529411764705882,0.23529411764705882,poly,,conc,,,,hot,casserole
neighbors-200,wikipedia_sgns_model,0.4152001748,-,True,-,casseroles,casserole,163,True,True,1,0,2,0.23529411764705882,0.23529411764705882,poly,,conc,,,,hot,casserole
