categories_str,sources_str,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,conc,fam,aoa,property,concept
black,conceptnet,0.2765370422,-0,True,-0,cats,cat,29328,True,True,3,3,10,0.08,0.3308159837,poly,met non-met,abs-conc,,,,yellow,cat
is_green,cslb,0.1812472605,-0,True,-0,tank,tank,77579,True,True,6,9,8,0.1176470588,0.3673233715,poly,non-met,abs-conc,581,511,,yellow,tank
is_red,mcrae,0.1842655571,-0,True,neg-is_red-some,ambulance,ambulance,15418,True,True,0,0,1,1,1,mon,non-met,conc,595,499,,yellow,ambulance
black,conceptnet,0.1772466975,-0,True,-0,tires,tire,10107,True,True,2,4,5,0.1538461538,0.2235366485,homonyms_only_different_pos,,conc,,,,yellow,tire
is_yellow is_black,cslb,0.2438055763,-0,True,-0,taxi,taxi,18419,True,True,2,0,3,0.25,0.25,homonyms_only_different_pos,non-met,conc,,,,yellow,taxi
red,conceptnet,0.1952621975,-0,True,-0,jeeps,jeep,1452,True,True,0,0,1,1,1,mon,,conc,,,,yellow,jeep
is_green,cslb,0.2264067502,-0,True,-0,jeep,jeep,5546,True,True,0,0,1,1,1,mon,,conc,622,564,,yellow,jeep
is_yellow is_red,cslb mcrae,0.2018847342,-0,True,pos-is_yellow-some,bus,bus,129573,True,True,4,4,7,0.1052631579,0.333516873,homonyms_only_different_pos,non-met,abs-conc,,,,yellow,bus
is_black,cslb,0.2310746553,-0,True,-0,limousine,limousine,2816,True,True,0,0,1,1,1,mon,,conc,624,505,,yellow,limousine
red green,conceptnet,0.2064621414,-0,True,-0,car,car,294557,True,True,1,4,5,0.4761904762,0.6434791524,poly,non-met,conc,622,634,197,yellow,car
red,conceptnet,0.2082043816,-0,True,-0,cars,car,145951,True,True,1,4,5,0.4761904762,0.6434791524,poly,non-met,conc,,,,yellow,car
is_green,cslb,0.1806651786,-0,True,-0,cricket,cricket,121039,True,True,2,0,3,0.0869565217,0.0869565217,homonyms_also_same_pos,non-met,abs-conc,,,,yellow,cricket
is_black,veale_simile,0.1569638224,-0,True,-0,rook,rook,2930,True,True,2,0,3,0.32,0.32,homonyms_also_same_pos,,conc,,,,yellow,rook
is_blue,veale_simile,0.1704743606,-0,True,-0,jay,jay,46167,True,True,1,0,2,0.48,0.48,mon,,conc-n,,,,yellow,jay
is_green is_yellow is_blue,cslb mcrae,0.3434562056,-0,True,pos-is_blue-some,budgie,budgie,511,True,True,0,0,1,1,1,,non-met,conc,,,,yellow,budgie
is_black,cslb,0.3207327564,-0,True,-0,flea,flea,4170,True,True,0,0,1,0.9090909091,0.9090909091,poly,,conc,625,515,,yellow,flea
is_red,cslb,0.1825011569,-0,True,-0,robin,robin,49512,True,True,1,0,2,0.9285714286,0.9285714286,poly,non-met,conc,637,487,233,yellow,robin
is_yellow,cslb,0.3473542475,-0,True,-0,locust,locust,3699,True,True,2,0,3,0.1818181818,0.2907814992,poly,,abs-conc,,,,yellow,locust
is_red,veale_simile,0.2841894544,-0,True,-0,rooster,rooster,4014,True,True,0,0,1,1,1,mon,,conc,,385,,yellow,rooster
is_green is_blue,cslb,0.2923045582,-0,True,-0,peacock,peacock,7844,True,True,1,0,2,0.5185185185,0.5185185185,poly,,conc,,,,yellow,peacock
is_yellow is_black,cslb,0.3148181938,-0,True,-0,hornet,hornet,4886,True,True,0,0,1,1,1,mon,,conc,,,,yellow,hornet
pos,manually_included,0.2615852268,-0,True,-0,crane,crane,17753,True,True,2,0,6,0.3636363636,0.4592889377,homonyms_only_different_pos,non-met,conc-n,606,428,350,yellow,crane
is_black,cslb,0.3109127126,-0,True,-0,cockroach,cockroach,1151,True,True,0,0,1,1,1,mon,,conc,,,,yellow,cockroach
is_black is_red,cslb,0.3601279816,-0,True,-0,ladybird,ladybird,634,True,True,0,0,1,1,1,mon,,conc,,,,yellow,ladybird
is_black,cslb,0.304841007,-0,True,-0,housefly,housefly,135,True,True,0,0,1,1,1,mon,,conc,,,,yellow,housefly
is_black,veale_simile,0.2829442951,-0,True,-0,bat,bat,33122,True,True,4,15,10,0.1,0.3531565657,homonyms_also_same_pos,,abs-conc,564,514,,yellow,bat
is_yellow is_black,cslb,0.4020723236,-0,True,-0,bee,bee,20452,True,True,2,0,2,0.1052631579,0.1052631579,poly,,abs-conc,597,554,,yellow,bee
is_black,veale_simile,0.239840235,-0,True,-0,crow,crow,15515,True,True,4,3,9,0.0909090909,0.2197710328,homonyms_also_same_pos,,abs-conc-n,590,490,308,yellow,crow
is_black,cslb,0.2948360458,-0,True,-0,penguin,penguin,10664,True,True,0,0,1,1,1,mon,,conc,,360,,yellow,penguin
is_black,cslb veale_simile,0.2355185616,-0,True,-0,raven,raven,11726,True,True,1,0,5,0.2222222222,0.2943121693,poly,,conc,,,,yellow,raven
is_black is_red,cslb mcrae,0.3396355683,-0,True,neg-is_red-some,ant,ant,12917,True,True,0,0,1,1,1,mon,,conc,604,511,,yellow,ant
is_red,cslb,0.4422313402,-0,True,-0,crab,crab,8586,True,True,3,0,11,0.0909090909,0.3042353307,homonyms_also_same_pos,,abs-conc-n,626,433,292,yellow,crab
is_yellow is_black,cslb,0.3371010284,-0,True,-0,wasp,wasp,7822,True,True,1,0,2,0.5714285714,0.5714285714,mon,,conc,,,,yellow,wasp
is_green,cslb,0.322129412,-0,True,-0,grasshopper,grasshopper,2771,True,True,1,0,2,0.1818181818,0.1818181818,poly,non-met,abs-conc,660,507,,yellow,grasshopper
is_black,mcrae,0.2898632701,-0,True,neg-is_black-all,blackbird,blackbird,2439,True,True,2,0,2,0.8571428571,0.8571428571,mon,,conc,,,,yellow,blackbird
green,conceptnet,0.3553331157,-0,True,-0,insects,insect,27961,True,True,1,0,2,0.6,0.6,poly,,conc,,,,yellow,insect
is_black,cslb,0.2881938276,-0,True,-0,pelican,pelican,3522,True,True,0,0,1,1,1,mon,,conc,,,,yellow,pelican
is_black,cslb mcrae,0.3802268029,-0,True,neg-is_black-some,beetle,beetle,32727,True,True,4,4,6,0.25,0.2992424242,homonyms_also_same_pos,,conc,619,503,,yellow,beetle
is_blue,veale_simile,0.2671550563,-0,True,-0,lark,lark,3703,True,True,2,0,5,0.0909090909,0.497039997,homonyms_also_same_pos,met,abs-conc,578,436,,yellow,lark
is_black,cslb,0.2341162279,-0,True,-0,starling,starling,2647,True,True,0,0,1,1,1,mon,,conc,,,,yellow,starling
is_black,mcrae,0.2783497502,-0,True,neg-is_black-some,buzzard,buzzard,1878,True,True,2,0,2,0.8148148148,0.8148148148,poly,,conc,,,,yellow,buzzard
is_black,cslb,0.3213531553,-0,True,-0,magpie,magpie,1829,True,True,2,0,3,0.48,0.5018181818,poly,,conc,,,,yellow,magpie
is_green is_blue,cslb veale_simile,0.2668365618,-0,True,-0,kingfisher,kingfisher,3016,True,True,0,0,1,1,1,mon,non-met,conc,,,,yellow,kingfisher
green,conceptnet,0.3358660328,-0,True,-0,parakeets,parakeet,466,True,True,0,0,1,1,1,mon,,conc,,,,yellow,parakeet
neighbors-200,wikipedia_sgns_model,0.4676779848,-0,True,-0,homoeosoma,homoeosoma,187,False,False,0,0,0,None,,,,-0,,,,yellow,homoeosoma
neighbors-200,wikipedia_sgns_model,0.4695392576,-0,True,-0,hexachaeta,hexachaeta,101,False,False,0,0,0,None,,,,-0,,,,yellow,hexachaeta
neighbors-200,wikipedia_sgns_model,0.4948160688,-0,True,-0,acrolepiidae,acrolepiidae,113,False,False,0,0,0,None,,,,-0,,,,yellow,acrolepiidae
neighbors-200,wikipedia_sgns_model,0.4874966086,-0,True,-0,orthotylus,orthotylus,120,False,False,0,0,0,None,,,,-0,,,,yellow,orthotylus
neighbors-200,wikipedia_sgns_model,0.4558415356,-0,True,-0,pycnarmon,pycnarmon,114,False,False,0,0,0,None,,,,-0,,,,yellow,pycnarmon
neighbors-200,wikipedia_sgns_model,0.4949826664,-0,True,-0,pandemis,pandemis,137,False,False,0,0,0,None,,,,-0,,,,yellow,pandemis
neighbors-200,wikipedia_sgns_model,0.4557782178,-0,True,-0,phostria,phostria,178,False,False,0,0,0,None,,,,-0,,,,yellow,phostria
neighbors-200,wikipedia_sgns_model,0.4851638739,-0,True,-0,evergestis,evergestis,165,False,False,0,0,0,None,,,,-0,,,,yellow,evergestis
neighbors-200,wikipedia_sgns_model,0.5030462269,-0,True,-0,trombidium,trombidium,106,False,False,0,0,0,None,,,,-0,,,,yellow,trombidium
neighbors-200,wikipedia_sgns_model,0.4772567071,-0,True,-0,blepharomastix,blepharomastix,171,False,False,0,0,0,None,,,,-0,,,,yellow,blepharomastix
neighbors-200,wikipedia_sgns_model,0.488104273,-0,True,-0,endoxyla,endoxyla,128,False,False,0,0,0,None,,,,-0,,,,yellow,endoxyla
red,conceptnet,0.2911924998,-0,True,-0,balloons,balloon,6121,True,True,4,4,4,0.1428571429,0.3345864662,homonyms_only_different_pos,,conc,,,,yellow,balloon
red,conceptnet,0.27265814,-0,True,-0,yoyo,yoyo,484,False,False,0,0,0,None,,mon,,-0,,,,yellow,yoyo
is_green,cslb,0.2538048707,-0,True,-0,fir,fir,7722,True,True,1,0,2,0.1904761905,0.1904761905,poly,,abs-conc,442,407,,yellow,fir
is_black,cslb,0.1196791047,3,False,-0,recorder,recorder,11384,True,True,3,0,4,0.3636363636,0.5185383309,poly,non-met,conc,,,,yellow,recorder
is_green,cslb,0.2792086673,-0,True,-0,elm,elm,10141,True,True,1,0,2,0.2105263158,0.2105263158,poly,,abs-conc,579,456,367,yellow,elm
is_green,cslb,0.3225766192,-0,True,-0,sycamore,sycamore,3138,True,True,2,0,4,0.1904761905,0.5173168428,poly,non-met,abs-conc,606,369,381,yellow,sycamore
is_black,mcrae,0.1790041646,-0,True,neg-is_black-some,cannon,cannon,29118,True,True,3,0,8,0.0909090909,0.3188091524,homonyms_only_different_pos,,abs-conc,604,498,,yellow,cannon
is_green,cslb,0.3453419087,-0,True,-0,willow,willow,13007,True,True,1,0,2,0.380952381,0.380952381,poly,non-met,conc,589,425,386,yellow,willow
is_black,cslb,0.221876071,-0,True,-0,wand,wand,2909,True,True,1,0,4,0.1111111111,0.3416666667,mon,,abs-conc,570,381,272,yellow,wand
is_green,cslb,0.3688431318,-0,True,-0,pine,pine,42283,True,True,1,0,3,0.1904761905,0.1904761905,homonyms_only_different_pos,non-met,abs-conc,592,557,,yellow,pine
is_black,cslb,0.1817535542,-0,True,-0,clarinet,clarinet,9397,True,True,0,0,1,1,1,mon,,conc,633,464,,yellow,clarinet
is_black,cslb,0.2066114131,-0,True,-0,piano,piano,93430,True,True,1,0,4,0.1176470588,0.1176470588,homonyms_only_different_pos,non-met,abs-conc,615,545,253,yellow,piano
